city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Balrampur,1,1,0,400.33038983265436,0.6723727879520356,1.6825373967449284,1.3011646044664729,45,8.64071111111111,False
Banda,0,1,1,475.9992914092113,0.8356240876645551,1.3823661371470772,1.1092753686225865,45,11.625402469135803,False
Bangalore,1,1,1,512.3572663904496,0.6917777720728571,1.0381442115371433,0.8027359701183289,50,3.496644,False
Banka,2,1,0,428.4232023469617,0.6633001934658571,1.8674568978419988,1.5120933738762397,45,10.357580246913578,False
Bankura,0,1,0,425.34047976587897,0.6859107114769569,1.8202563921968065,1.462222222222222,45,10.549017283950615,False
Banswara,1,1,1,424.877156379913,0.7456158744441859,1.3290997625290482,1.060024555860705,45,6.944246913580246,False
Bara Banki,0,1,1,525.6545144997386,0.6581488828692597,2.1210282179736653,1.6271243615364386,45,13.16,False
Baramula,1,1,1,565.639520582904,0.5662887801803669,1.9861061063936825,1.4542206588686637,45,9.095032098765433,False
Baran,1,1,1,471.855861721835,0.7122556769869939,1.5482329632285787,1.260672788336756,45,8.3304,False
Barddhaman,0,1,1,549.7481922187123,0.7785768905323172,1.6172826551670887,1.1986348062847694,64,11.81269287109375,False
Bareilly,0,1,1,472.43476147800936,0.5993907473085036,1.8777441960495007,1.4614797235902928,45,8.801402469135803,False
Bargarh,0,1,2,358.7509585482967,0.6584102516672299,1.5646956278407038,1.2086073338257686,45,7.16728888888889,False
Barjala,0,1,2,128.01201467759813,0.44691457487240427,1.3127389668488256,1.1499226174018444,12,3.1157638888888886,False
Barmer,2,1,1,463.3516852183703,0.4940999085223776,1.286891431605859,1.0470824239164764,45,3.27355061728395,False
Barnala,2,1,2,489.37050618573664,0.5315461785696419,1.4958390285859589,1.1104986511005501,45,4.776424691358025,False
Barpeta,2,1,0,347.1955809503439,0.5620057064204861,1.3839640949442853,1.0993837590617936,45,4.373017283950616,False
Barwani,1,1,1,396.97983247506914,0.7661353425657701,1.3204440418990555,1.025526849298786,45,7.455476543209877,False
Bastar,2,1,0,426.4822207790277,0.6290600318625459,1.6279619909531113,1.2561050270850276,49,7.144714702207413,False
Basti,0,1,1,411.950434367847,0.7050794898337273,1.7589256823050987,1.251310822743793,45,10.490350617283951,False
Baudh,2,1,0,423.95152270033475,0.5471758924818968,1.6169779150166796,1.3135114308698421,45,5.774024691358025,False
Begusarai,2,1,2,434.0486887429188,0.7567892980612788,1.510396361071209,1.2499969277850331,45,9.37992098765432,False
Belgaum,1,1,1,446.8730276046073,0.6627031686075716,1.4049215012783045,1.1237434698742372,45,5.851832098765433,False
Bellary,1,1,1,434.4822202286575,0.7575493931186243,0.8147640991254675,0.69035915093776,45,2.7380444444444443,False
Betul,0,1,1,411.26703453680994,0.7791390380783632,1.3420416840050633,1.0909099389985908,45,8.154795061728393,False
Bhabua,0,1,0,430.09896625403076,0.7968430641745355,1.472941124266532,1.18,45,10.67920987654321,False
Bhadohi,2,1,2,426.6555182915757,0.7777782884929297,1.658243154907422,1.3373760410764786,45,12.373995061728397,False
Bhadrak,2,1,2,408.41213231140034,0.5993817203214273,1.4480148651009341,1.1971642039605894,45,5.233777777777778,False
Bhagalpur,0,1,0,419.2279461090831,0.5768500336905495,1.9387281053996885,1.4666666666666666,45,8.88258765432099,False
Bhandara,0,1,1,441.1509132769512,0.5962902486351722,1.9035302978382167,1.6227411245938725,45,8.975328395061728,False
Bharatpur,2,1,2,486.25778402503556,0.6380947210417434,2.0368962802984627,1.6114204738531754,45,11.46417777777778,False
Bharuch,2,1,2,393.028627718654,0.7535933375032391,1.2094310599591271,0.8850746461782523,45,5.936217283950615,False
Bhavnagar,2,1,2,371.9346946637549,0.6617631693302382,1.1089494962905817,0.8757073649041208,45,3.6358222222222216,False
Bhilwara,0,1,2,427.3131933410134,0.733949624779073,1.172495633029685,0.966962792187401,45,5.167239506172838,False
Bhind,2,1,2,454.45531639988735,0.6724569671148413,1.7749478605025586,1.43762328639993,45,9.618400000000001,False
