city,n_rows,temp_nunique,temp_unique_ratio,temp_max_run,temp_variance,hum_nunique,hum_unique_ratio,hum_max_run,hum_variance
Geinyale,16,10,0.625,2,0.2340234374999995,8,0.5,2,28.99609375
Ghaziabad,178,30,0.16853932584269662,4,40.0727597525565,37,0.20786516853932585,3,190.14572023734377
Ghazipur,180,123,0.6833333333333333,2,29.998892283950617,65,0.3611111111111111,2,325.2195987654321
Giridih,180,101,0.5611111111111111,2,17.213941666666667,66,0.36666666666666664,2,420.6933333333333
Goa,189,47,0.24867724867724866,3,1.216901542510008,45,0.23809523809523808,3,108.33784048598862
Goalpara,180,93,0.5166666666666667,2,16.393550617283946,60,0.3333333333333333,4,314.5655555555556
Godda,180,111,0.6166666666666667,2,21.5810774691358,65,0.3611111111111111,3,355.1072839506173
Golaghat,180,106,0.5888888888888889,3,17.85178117283951,48,0.26666666666666666,4,190.2595987654321
Gonda,180,110,0.6111111111111112,2,29.592739506172844,64,0.35555555555555557,2,330.24108024691355
Gopalganj,180,118,0.6555555555555556,2,28.163252777777778,66,0.36666666666666664,2,309.6003395061729
Gorakhpur,180,118,0.6555555555555556,2,39.012697222222215,59,0.3277777777777778,2,310.76972222222224
Gulbarga,180,82,0.45555555555555555,2,6.8788320987654314,69,0.38333333333333336,2,396.4129320987654
Gumla,180,99,0.55,2,14.809163888888886,68,0.37777777777777777,2,411.31663580246914
Guna,179,105,0.5865921787709497,3,14.826531631347338,67,0.3743016759776536,3,412.1899441340782
Guntur,180,72,0.4,4,5.981052777777776,28,0.15555555555555556,4,40.26972222222222
Gurdaspur,180,119,0.6611111111111111,3,29.488929320987648,56,0.3111111111111111,3,259.111450617284
Gurgaon,180,33,0.18333333333333332,5,39.61034691358025,39,0.21666666666666667,3,213.6586111111111
Gwalior,179,110,0.6145251396648045,3,32.37569551512125,59,0.329608938547486,3,420.97562498049376
Hailakandi,180,98,0.5444444444444444,3,18.400876543209876,45,0.25,3,177.4532098765432
Hamirpur,180,113,0.6277777777777778,2,32.37422222222222,57,0.31666666666666665,2,285.4363888888889
Hanumangarh,180,120,0.6666666666666666,2,43.70034444444444,52,0.28888888888888886,3,215.93737654320987
Haora,197,23,0.116751269035533,5,22.09709397304749,26,0.1319796954314721,10,102.23309026256797
Hapur,179,109,0.6089385474860335,2,32.75368184513592,65,0.36312849162011174,3,401.96604350675693
Harda,179,89,0.4972067039106145,2,8.382801410692553,69,0.3854748603351955,3,413.2191254954589
Hardoi,179,127,0.7094972067039106,2,32.36882868824319,64,0.3575418994413408,3,283.16469523423115
Hardwar,180,105,0.5833333333333334,3,26.285702469135806,62,0.34444444444444444,3,285.6666666666667
Hassan,178,54,0.30337078651685395,2,1.7447572907461177,50,0.2808988764044944,2,214.92702941547785
Haveri,180,68,0.37777777777777777,3,3.1301959876543206,62,0.34444444444444444,3,347.8929320987654
Hazaribagh,180,104,0.5777777777777777,3,18.811655555555554,55,0.3055555555555556,2,276.8208333333333
Hingoli,179,82,0.4581005586592179,2,5.854576948285009,69,0.3854748603351955,2,458.44786367466685
Hisar,180,126,0.7,2,39.006521913580244,59,0.3277777777777778,2,286.44478395061736
Hojai,180,95,0.5277777777777778,3,16.47782561728395,54,0.3,4,265.5006172839506
Hoshangabad,180,84,0.4666666666666667,4,9.735080246913581,65,0.3611111111111111,2,349.31728395061725
Hoshiarpur,180,112,0.6222222222222222,2,32.27511728395062,57,0.31666666666666665,2,254.90432098765433
Hugli,180,24,0.13333333333333333,4,21.47420339506173,26,0.14444444444444443,8,89.86987654320988
Idukki,179,63,0.35195530726256985,3,8.611661933148152,22,0.12290502793296089,3,43.77678599294653
Imphal,184,101,0.5489130434782609,3,26.73103703922495,41,0.22282608695652173,4,161.63031663516068
Indore,180,37,0.20555555555555555,4,7.929122222222223,44,0.24444444444444444,5,251.3569135802469
Jabalpur,180,92,0.5111111111111111,2,12.441344444444445,71,0.39444444444444443,3,447.75999999999993
Jagatsinghapur,180,24,0.13333333333333333,6,14.690109876543213,21,0.11666666666666667,6,64.21663580246914
Jagtial,180,83,0.46111111111111114,2,5.912665432098765,67,0.37222222222222223,2,418.9198765432099
Jaipur,180,26,0.14444444444444443,4,30.72512191358025,47,0.2611111111111111,4,216.19416666666666
Jaisalmer,180,99,0.55,2,25.381447839506173,55,0.3055555555555556,3,307.78996913580244
Jalandhar,180,123,0.6833333333333333,2,36.822017283950615,59,0.3277777777777778,2,280.6611111111111
Jalaun,180,120,0.6666666666666666,3,35.54401358024691,60,0.3333333333333333,3,278.90774691358024
Jalgaon,180,84,0.4666666666666667,2,5.397521913580247,70,0.3888888888888889,3,451.722561728395
Jalna,180,77,0.42777777777777776,4,6.884586111111111,68,0.37777777777777777,3,475.9958024691358
Jalor,180,93,0.5166666666666667,2,17.779011111111114,68,0.37777777777777777,3,381.1497222222223
Jalpaiguri,180,103,0.5722222222222222,2,16.98314166666667,65,0.3611111111111111,2,330.72765432098765
Jammu,180,113,0.6277777777777778,2,29.22398117283951,51,0.2833333333333333,2,264.6488888888889
Jamnagar,180,79,0.4388888888888889,2,7.851511111111111,52,0.28888888888888886,2,246.00478395061728
Jamtara,180,94,0.5222222222222223,3,15.609566358024692,67,0.37222222222222223,3,432.64333333333326
Jamui,180,112,0.6222222222222222,3,24.54762839506173,67,0.37222222222222223,2,341.2225617283951
Jangaon,180,74,0.4111111111111111,3,4.8730774691358025,57,0.31666666666666665,3,232.25666666666666
Janjgir,180,94,0.5222222222222223,3,10.063040432098767,70,0.3888888888888889,3,439.23444444444436
Jashpur,180,108,0.6,2,20.000203395061725,65,0.3611111111111111,3,358.39194444444445
Jaunpur,180,117,0.65,3,31.26403580246913,63,0.35,2,335.68256172839506
Jhabua,180,81,0.45,2,5.923363888888889,68,0.37777777777777777,5,459.0151543209877
Jhajjar,180,32,0.17777777777777778,5,39.68489228395062,39,0.21666666666666667,3,216.33135802469138
Jhalawar,180,101,0.5611111111111111,3,15.24520987654321,63,0.35,2,374.285524691358
