city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Dindigul,2,1,2,826.4296816118961,-0.015102508927190117,7.266593199776582,5.6285627375178615,45,52.01777777777778,False
Dindori,1,1,1,979.8434493056161,-0.21814046099549378,15.567955103984065,11.42167661855454,45,198.96,False
Diu,1,1,1,923.3733352514818,0.40033222868705953,13.53266089305979,10.94794910435796,45,305.3906172839506,False
Doda,1,1,1,1000.0778265335898,0.5340559905440185,14.014660229804747,9.483245789864075,45,421.5328395061727,False
Dohad,0,1,2,915.4806692854306,0.49892959565856787,5.96827369157646,4.564923015603865,45,71.08839506172839,False
Dumka,2,1,2,973.9586637860297,0.034056746496922696,15.095334181791651,10.192678944753853,45,235.90320987654326,False
Dungarpur,2,1,2,949.2843750079096,0.21204483252946194,9.264359507876593,6.922305139312222,45,108.92543209876543,False
Durg,1,1,0,937.4452230501847,-0.14262897342563963,14.601965201551865,9.563160233807384,45,186.60246913580247,False
Dwarka,1,1,1,832.4609316607043,0.5355496015998132,9.354078539709418,7.462794233177871,45,188.39209876543208,False
East Godavari,1,1,1,1367.787047236346,0.5567216387171878,2.80556592890923,1.8863584168480447,77,17.756788665879572,False
Ernakulam,1,1,1,865.0383010016536,0.02879366754463708,5.601424786527606,4.731239068304906,45,32.30617283950617,False
Erode,1,1,2,840.1234599617005,0.30350096954422245,6.342749553577116,5.209471195769321,45,57.76098765432099,False
Etah,0,1,2,957.005966996499,0.25187198632049634,14.440877014398447,10.920284695556617,45,278.7476543209877,False
Etawah,0,1,2,987.8761227253834,0.3021963398897396,13.0883974012355,9.564908264539987,45,245.4933333333333,False
Faizabad,1,1,1,973.0656475051298,0.29084379887349576,14.152194954499278,10.019038177475487,45,282.4266666666666,False
Faridabad,2,1,1,1065.755253857436,0.42842187224477857,13.508094820475243,9.984677356547067,45,319.2365432098765,False
Faridkot,1,1,1,979.6606194338099,0.25817884771442445,16.994794161306633,10.458609388817381,45,389.34320987654326,False
Farrukhabad,2,1,0,970.974024712463,0.21672465349828096,14.323357608356089,10.736456406197135,45,261.92395061728394,False
Fatehabad,1,1,1,989.8296260513437,0.02895889461863621,18.624402018064625,11.89916960965043,45,357.2128395061728,False
