city,n_train_cities,n_test_rows,temp_r2,temp_rmse,temp_mae,hum_r2,hum_rmse,hum_mae,temp_variance,hum_variance,temp_r2_undefined,hum_r2_undefined,temp_test_unique_ratio,temp_test_max_run
Gumla,551,179,0.9203222073746626,1.0617623704600587,0.784525761630133,0.8299192822965737,8.378449949206109,6.269174005874219,14.148726943603508,412.7359320870135,False,False,0.547486033519553,2
Guna,551,178,0.8964365813387152,1.2255706293795214,0.8724150989065214,0.8315036140206549,8.344370260025194,6.071072593287985,14.503416235323824,413.234471657619,False,False,0.5842696629213483,3
Guntur,551,179,0.6024381249328385,1.473871902408517,1.0370630562159062,0.062312909359040214,5.90969341772211,4.5979875170527595,5.464051059579913,37.24534190568335,False,False,0.39664804469273746,4
Gurdaspur,551,179,0.9506111498392592,1.1945412372569948,0.8614560102018866,0.6508719501123177,9.50463430796763,6.33880720804628,28.891718735370308,258.7534096938297,False,False,0.659217877094972,3
Gurgaon,551,179,0.9378840232897803,1.555000255611203,1.1764232882026529,0.6658283857290233,8.445348411006695,6.288957526509723,38.92759838956337,213.43497393963983,False,False,0.1787709497206704,5
Gwalior,551,178,0.9205719603421614,1.5875466111530616,1.1634559908169693,0.734918877227438,10.59321165180982,7.595601633502928,31.73066153263477,423.327515465219,False,False,0.6123595505617978,3
Hailakandi,551,179,0.9463942876095008,0.9785172437009876,0.7304718513404094,0.8045293734706771,5.899124065577125,3.964959013530136,17.861827658312784,178.03014887175806,False,False,0.5418994413407822,3
Hamirpur,551,179,0.9587782746621647,1.1462050462286868,0.8570847831613607,0.6987638597335324,9.296525819235521,6.581555999654852,31.871203770169473,286.9024687119628,False,False,0.6256983240223464,2
Hanumangarh,551,179,0.9558190195272391,1.3731319511874858,1.0145580971893347,0.6298838317673818,8.962213619122723,6.57490237654279,42.67653943385037,217.01638525639027,False,False,0.664804469273743,2
Haora,551,196,0.9152687129062681,1.3488275364796856,1.0215940930557856,0.6514863407226612,5.911413411504869,4.424155214062618,21.471829185755936,100.26811745106205,False,False,0.11224489795918367,5
Hapur,551,178,0.962776679573025,1.088790580179414,0.8050001466492612,0.8036296575729156,8.90898488508262,6.890496901740717,31.847371859613688,404.185330135084,False,False,0.6067415730337079,2
